Species,ENSEMBL ID,Gene,Expression,Orthologous Cluster ID
Homo sapiens,ENSG00000131979,GCH1,up_regulated,HS1745
Homo sapiens,ENSG00000173821,RNF213,up_regulated,SS19487_BT16799_HS2199
Homo sapiens,ENSG00000108771,DHX58,up_regulated,HS452
Homo sapiens,ENSG00000137496,IL18BP,up_regulated,HS8284
Homo sapiens,ENSG00000108688,CCL7,up_regulated,HS6990
Homo sapiens,ENSG00000146859,TMEM140,up_regulated,HS2094
Homo sapiens,ENSG00000137628,DDX60,up_regulated,HS74
Homo sapiens,ENSG00000138035,PNPT1,up_regulated,HS7846_SS20343
Homo sapiens,ENSG00000185338,SOCS1,up_regulated,HS2364
Homo sapiens,ENSG00000168404,MLKL,up_regulated,HS10958
Homo sapiens,ENSG00000125347,IRF1,up_regulated,HS8426
Homo sapiens,ENSG00000100342,APOL1,up_regulated,RN16135_HS4889
Homo sapiens,ENSG00000163840,DTX3L,up_regulated,HS1156
Homo sapiens,ENSG00000196116,TDRD7,up_regulated,HS3177
Homo sapiens,ENSG00000162645,GBP2,up_regulated,HS6937
Homo sapiens,ENSG00000135363,LMO2,up_regulated,HS13478
Homo sapiens,ENSG00000133401,PDZD2,up_regulated,HS8825
Homo sapiens,ENSG00000162772,ATF3,up_regulated,HS5587
Homo sapiens,ENSG00000132109,TRIM21,up_regulated,HS4623
Homo sapiens,ENSG00000134716,CYP2J2,up_regulated,HS4000
Homo sapiens,ENSG00000240065,PSMB9,up_regulated,HS10436
Homo sapiens,ENSG00000172936,MYD88,up_regulated,HS10066
Homo sapiens,ENSG00000140853,NLRC5,up_regulated,SS19391_HS14100
Homo sapiens,ENSG00000198133,TMEM229B,up_regulated,HS2883
Homo sapiens,ENSG00000123609,NMI,up_regulated,HS3780
Homo sapiens,ENSG00000105559,PLEKHA4,up_regulated,HS9410
Homo sapiens,ENSG00000185880,TRIM69,up_regulated,HS10035
Homo sapiens,ENSG00000100336,APOL4,up_regulated,RN16135_HS4889
Homo sapiens,ENSG00000204267,TAP2,up_regulated,HS3839
Homo sapiens,ENSG00000170542,SERPINB9,up_regulated,HS14304
Homo sapiens,ENSG00000204642,HLA-F,up_regulated,HS1841
Homo sapiens,ENSG00000137877,SPTBN5,up_regulated,HS7548
Homo sapiens,ENSG00000213689,TREX1,up_regulated,HS2732
Homo sapiens,ENSG00000115339,GALNT3,up_regulated,HS8709
Homo sapiens,ENSG00000105939,ZC3HAV1,up_regulated,HS1772
Homo sapiens,ENSG00000185885,IFITM1,up_regulated,HS5316_OA17892_OA17898
Homo sapiens,ENSG00000132256,TRIM5,up_regulated,HS4584
Homo sapiens,ENSG00000124201,ZNFX1,up_regulated,HS1469
Homo sapiens,ENSG00000154760,SLFN13,up_regulated,HS5647
Homo sapiens,ENSG00000055332,EIF2AK2,up_regulated,HS7756_SS19225
Homo sapiens,ENSG00000130813,C19orf66,up_regulated,HS13116
Homo sapiens,ENSG00000108691,CCL2,up_regulated,HS1177
Homo sapiens,ENSG00000178685,PARP10,up_regulated,HS5265
Homo sapiens,ENSG00000155287,SLC25A28,up_regulated,HS7588
Homo sapiens,ENSG00000090339,ICAM1,up_regulated,HS4150
Homo sapiens,ENSG00000168310,IRF2,up_regulated,HS5159
Homo sapiens,ENSG00000141664,ZCCHC2,up_regulated,HS12557
Homo sapiens,ENSG00000165949,IFI27,up_regulated,PV22212_HS9992_BT16887_HS11526_OA18101_HS9911
Homo sapiens,ENSG00000116514,RNF19B,up_regulated,HS10946
Homo sapiens,ENSG00000163565,IFI16,up_regulated,HS9401_RN15771_OA18401
Homo sapiens,ENSG00000146411,SLC2A12,up_regulated,HS14611
Homo sapiens,ENSG00000196517,SLC6A9,up_regulated,HS2885
Homo sapiens,ENSG00000139832,RAB20,up_regulated,HS6202
Homo sapiens,ENSG00000169255,B3GALNT1,up_regulated,HS2169
Homo sapiens,ENSG00000140464,PML,up_regulated,HS12547
