Gene_Name,Gene_ID,TF,Strand,Start,End
POFUT1,ENSG00000101346,IRF3,+,2317,2334
POFUT1,ENSG00000101346,IRF7,+,1292,1305
POFUT1,ENSG00000101346,IRF7,+,2322,2335
FAAH,ENSG00000117480,IRF3,+,1404,1421
MTHFD1,ENSG00000100714,IRF7,+,1682,1695
MTHFD1,ENSG00000100714,IRF7,+,1717,1730
ELOVL4,ENSG00000118402,IRF7,+,29,42
ELOVL4,ENSG00000118402,IRF7,+,182,195
ELOVL4,ENSG00000118402,IRF7,+,732,745
AURKA,ENSG00000087586,IRF7,+,473,486
COPS5,ENSG00000121022,IRF7,+,228,241
COPS5,ENSG00000121022,IRF7,+,1463,1476
COPS5,ENSG00000121022,IRF7,+,1642,1655
COPS5,ENSG00000121022,IRF7,+,2007,2020
COPS5,ENSG00000121022,IRF7,+,2721,2734
SNORD79,ENSG00000251878,IRF7,+,2055,2068
SON,ENSG00000159140,IRF3,+,677,694
SON,ENSG00000159140,IRF3,+,989,1006
SON,ENSG00000159140,IRF7,+,675,688
SON,ENSG00000159140,IRF7,+,1749,1762
SON,ENSG00000159140,IRF7,+,2601,2614
STK32B,ENSG00000152953,IRF3,+,2530,2547
STK32B,ENSG00000152953,IRF7,+,1027,1040
STK32B,ENSG00000152953,IRF7,+,1442,1455
STK32B,ENSG00000152953,IRF7,+,1998,2011
CDH10,ENSG00000040731,IRF7,+,279,292
CDH10,ENSG00000040731,IRF7,+,304,317
CDH10,ENSG00000040731,IRF7,+,1515,1528
CDH10,ENSG00000040731,IRF7,+,1988,2001
CDH10,ENSG00000040731,IRF7,+,2669,2682
DHCR7,ENSG00000172893,IRF7,+,773,786
DHCR7,ENSG00000172893,IRF7,+,1337,1350
SASH3,ENSG00000122122,IRF7,+,56,69
SASH3,ENSG00000122122,IRF7,+,1572,1585
CHRAC1,ENSG00000104472,IRF7,+,662,675
CHRAC1,ENSG00000104472,IRF7,+,828,841
TLN1,ENSG00000137076,IRF7,+,1299,1312
TLN1,ENSG00000137076,IRF7,+,1984,1997
COL17A1,ENSG00000065618,IRF7,+,135,148
C12orf45,ENSG00000151131,IRF3,+,1766,1783
C12orf45,ENSG00000151131,IRF7,+,1771,1784
C12orf45,ENSG00000151131,IRF7,+,1839,1852
IGBP1,ENSG00000089289,IRF7,+,2283,2296
